Brand,Coffee_Brand,Caffeine_mg_in_16_oz_coffee
Big_Bean_regular,Big_Bean,164.7
Big_Bean_Boat_Builders_blend,Big_Bean,147.6
Big_Bean_Organic_Peru,Big_Bean,186
Big_Bean_French_Roast,Big_Bean,179.8
Big_Bean_Ethiopian,Big_Bean,157.1
Big_Bean_Italian_Roast,Big_Bean,171.8
Big_Bean_Costa_Rica,Big_Bean,245.1
Big_Bean_Kenya_AA,Big_Bean,204.9
Big_Bean_Sumatra_Mandheling,Big_Bean,168.5
Hampden_Cafe_Guatemala,other,172.7
Starbucks_regular,other,259.3
Royal_Farms_regular,other,225.7
Dunkin'_Donuts_regular,other,143.4
Einstein_Bros_regular,other,206.3
