Country,Continent,Population_growth,Fertility_rate,Mortality_rate_adult_female_per_1000,Mortality_rate_adult_male_per_1000,Adolescent_fertility_rate(births_per_1000_women_ages_15_19),Agricultural_land_(sq_km),Aid_per_capita,Air_transport_passengers_carried,Arable_land,Average_times_firms_spent_in_meetings_with_tax_officials,Average_time_to_clear_exports_through_customs,Birth_rate_crude_per_1000,Death_rate_crude_per_1000,Electric_power_consumption,Forest_area,GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Afghanistan,Asia,NA,NA,NA,NA,NA,380480,NA,NA,7910000,NA,NA,NA,NA,NA,8670,NA,20,NA,76,NA,1,652090,NA,NA,NA,NA,NA,10,NA,0,0,NA,NA,0,NA,59,33,NA,NA,NA,652090,NA
Albania,Europe,1,2,52,109,16,11230,101,195702,578000,7,1,17,6,3681000000,7940,4793518592,169,3,98,2,6,27400,79,73,76,NA,7,1,16,2,NA,3153731,50,0,NA,NA,NA,NA,NA,NA,28750,NA
Algeria,Middle East & North Africa,1,2,107,125,8,411500,11,3037298,7450000,NA,NA,21,5,2.95E+10,22770,6.97E+10,108,NA,88,2,6,2381740,73,70,72,NA,NA,3,34,1,NA,32854159,49,0,NA,93,108,NA,NA,NA,2381740,31
AmericanSamoa,Pacific,2,NA,NA,NA,NA,50,NA,NA,2000,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,58300,NA,NA,NA,NA,NA,NA,NA,NA,200,NA
Andorra,Europe,0,NA,NA,NA,NA,260,NA,NA,1000,NA,NA,NA,NA,NA,160,NA,2556,3,98,NA,33,470,NA,NA,NA,NA,NA,NA,3,NA,NA,66200,NA,NA,NA,95,112,NA,NA,NA,470,NA
Angola,Sub-Saharan Africa,3,7,439,492,140,575900,27,239795,3300000,NA,NA,48,21,2269000000,591040,1.49E+10,36,NA,47,25,1,1246700,44,40,42,NA,NA,5,154,1,NA,16095214,51,4,NA,NA,NA,NA,NA,NA,1246700,NA
AntiguaandBarbuda,Latin America & Caribbean,1,NA,NA,NA,NA,140,94,778260,8000,NA,NA,NA,NA,NA,90,804826688,503,2,99,NA,35,440,NA,NA,NA,NA,5,NA,10,15,NA,83039,NA,NA,NA,NA,NA,NA,NA,NA,440,NA
Argentina,Latin America & Caribbean,1,2,82,171,58,1293550,3,6938436,28500000,NA,NA,18,8,9.37E+10,330210,3.14E+11,484,NA,92,10,18,2736690,79,71,75,NA,NA,1,14,9,NA,38747148,51,1,10,NA,NA,NA,NA,NA,2780400,NA
Armenia,Middle East & North Africa,0,1,89,198,30,13900,64,555795,495000,3,5,12,9,4536000000,2830,3402389504,88,4,90,1,5,28200,75,68,71,NA,8,3,23,10,NA,3017661,53,0,12,104,103,7515,NA,NA,29800,14
Aruba,Latin America & Caribbean,1,NA,78,139,25,20,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,180,NA,NA,NA,NA,NA,NA,NA,8,NA,100300,52,NA,NA,97,103,NA,NA,NA,180,NA
Australia,Pacific,1,2,NA,NA,15,4451490,NA,44657324,49402000,NA,NA,13,6,2.34E+11,1636780,4.70E+11,3181,NA,92,3,70,7682300,83,78,81,NA,NA,2,5,76,NA,20399836,50,0,NA,100,96,NA,NA,NA,7741220,24
Austria,Europe,1,1,55,111,12,32630,NA,8037890,1387000,NA,NA,10,9,6.50E+10,38620,2.08E+11,3788,8,86,2,49,82450,82,77,79,NA,NA,1,4,61,NA,8233300,50,0,NA,100,95,NA,NA,NA,83870,20
Azerbaijan,Middle East & North Africa,1,2,104,219,29,47586,27,1134300,1843200,1,2,17,6,2.02E+10,9360,9911157760,62,8,93,12,8,82660,75,70,72,NA,NA,2,74,2,NA,8391850,51,0,NA,98,97,NA,NA,NA,86600,NA
Bahamas,Latin America & Caribbean,1,2,161,232,54,140,NA,1020000,8000,NA,NA,17,6,NA,5150,NA,1224,NA,93,2,32,10010,75,70,72,NA,NA,1,13,12,NA,323295,51,3,NA,100,100,NA,NA,NA,13880,16
Bahrain,Middle East & North Africa,2,2,74,106,18,100,NA,NA,2000,NA,NA,18,3,8263000000,NA,1.07E+10,710,3,98,3,21,710,77,74,75,NA,NA,3,9,18,3,724788,43,0,NA,99,105,NA,NA,NA,710,4
Bangladesh,Asia,2,3,207,239,134,90110,9,1634473,7951000,NA,NA,26,8,2.08E+10,8710,6.14E+10,12,NA,88,7,0,130170,64,62,63,NA,NA,1,54,1,0,153281120,49,0,1,NA,NA,NA,NA,NA,144000,NA
Barbados,Latin America & Caribbean,0,2,62,114,42,190,-7,NA,16000,NA,NA,11,7,NA,20,NA,725,NA,92,6,55,430,79,74,77,NA,NA,NA,11,14,NA,291933,51,2,NA,100,100,NA,NA,NA,430,NA
Belarus,Europe,0,1,128,368,23,88600,6,281877,5455000,3,3,9,15,3.14E+10,78940,1.83E+10,204,11,99,10,35,207480,74,63,68,NA,4,1,12,1,NA,9775591,53,0,NA,97,102,94797,NA,NA,207600,20
Belgium,Europe,1,2,62,114,8,13860,NA,3340509,844000,NA,NA,11,10,8.92E+10,6670,2.49E+11,3451,5,97,3,46,30230,82,77,79,NA,NA,1,4,38,NA,10478650,50,0,NA,100,97,NA,NA,NA,30530,26
Belize,Latin America & Caribbean,3,3,74,147,84,1520,41,NA,70000,NA,NA,28,5,NA,16530,1082180096,198,NA,96,4,9,22810,74,69,72,NA,NA,NA,15,14,NA,291800,49,2,NA,96,102,NA,NA,NA,22970,NA
Benin,Sub-Saharan Africa,3,6,243,295,127,35670,41,NA,2750000,NA,NA,41,12,589000000,23510,2727160320,28,0,93,5,5,110620,57,55,56,NA,NA,NA,89,0,NA,8490301,50,2,NA,80,57,NA,NA,NA,112620,15
Bermuda,Latin America & Caribbean,0,2,NA,NA,NA,10,NA,NA,1000,NA,NA,13,7,NA,10,NA,NA,NA,NA,NA,66,50,81,76,79,NA,NA,NA,NA,NA,NA,63570,NA,NA,NA,103,109,NA,NA,NA,50,NA
Bhutan,Asia,2,2,178,228,42,5920,141,49092,159000,NA,NA,20,7,NA,31950,649771200,52,NA,95,5,4,47000,67,63,65,60,NA,NA,65,2,NA,637013,47,0,NA,97,88,NA,NA,NA,47000,NA
Bolivia,Latin America & Caribbean,2,4,180,240,81,377680,69,1892343,3050000,NA,NA,29,8,4396000000,587400,9742456832,71,NA,81,5,5,1084380,67,63,65,NA,NA,2,52,2,NA,9182015,50,0,NA,NA,NA,NA,NA,NA,1098580,16
BosniaandHerzegovina,Europe,0,1,78,150,21,21470,141,NA,1000000,2,2,9,9,9068000000,21850,6798370816,243,3,93,NA,21,51200,77,72,74,NA,NA,2,13,5,1,3915238,51,0,NA,NA,NA,21846,NA,NA,51210,20
Botswana,Sub-Saharan Africa,1,3,583,604,56,259800,26,229987,377000,NA,NA,25,15,2581000000,119430,8045992960,362,NA,97,9,3,566730,49,49,49,NA,NA,3,87,5,NA,1835938,50,24,NA,98,105,NA,NA,NA,581730,NA
Brazil,Latin America & Caribbean,1,2,125,238,89,2636000,1,37661733,59000000,NA,NA,20,6,3.75E+11,4776980,7.38E+11,371,NA,96,7,17,8459420,76,68,72,NA,NA,1,20,16,NA,186830759,50,1,NA,NA,NA,NA,NA,NA,8514880,NA
BruneiDarussalam,Asia,2,2,66,91,29,250,NA,977516,14000,NA,NA,22,3,2803000000,2780,6649483264,519,NA,99,1,36,5270,79,75,77,NA,NA,3,8,9,NA,373831,48,0,NA,100,104,3650,NA,NA,5770,NA
Bulgaria,Europe,-1,1,92,221,42,52650,NA,653703,3173000,5,2,9,15,3.19E+10,36250,1.63E+10,272,6,96,5,21,108640,76,69,73,NA,NA,2,12,6,NA,7740000,51,0,NA,99,96,NA,NA,NA,111000,23
BurkinaFaso,Sub-Saharan Africa,3,6,191,292,133,109000,49,66273,4840000,NA,NA,45,15,NA,67940,3529520128,27,NA,96,6,0,273600,53,50,52,24,NA,1,121,0,NA,13933363,50,2,NA,80,71,NA,NA,NA,274000,11
Burundi,Sub-Saharan Africa,4,7,384,420,55,23260,46,NA,971000,NA,NA,46,16,NA,1520,789697344,3,NA,74,14,1,25680,50,47,49,NA,11,6,109,1,NA,7858791,51,3,NA,86,74,NA,NA,NA,27830,NA
Cambodia,Asia,2,3,253,372,45,53560,39,168810,3700000,NA,NA,27,9,NA,104470,5697206272,29,NA,82,6,0,176520,61,56,58,NA,NA,2,67,0,NA,13955507,51,2,NA,89,NA,NA,NA,NA,181040,8
Cameroon,Sub-Saharan Africa,2,5,420,419,125,91600,23,384059,5960000,NA,NA,36,15,3490000000,212450,1.21E+10,49,NA,80,2,1,465400,51,50,50,NA,NA,1,87,1,NA,17795149,50,5,NA,85,80,NA,NA,NA,475440,NA
