protein-IDs,length
2H0A,276
3MFX,387
1KQ6,141
4NWB,278
4XUU,676
3OQB,3064
3FPC,1408
3UWP,438
3KHQ,133
2TNF,468
4LHF,91
2HLZ,1248
2Q0T,789
2V7S,215
1G31,777
3BF5,612
3TO3,1238
2BJF,329
5FC4,150
2YCH,392
2Y0O,175
4WPG,289
4H14,290
2BII,848
1EW4,106
1X7D,700
3CQB,214
5DTX,248
4JOQ,594
2OSO,163
3FSA,125
2PFW,232
3V1V,433
2BJN,320
2IP2,668
3GL5,239
3LLU,196
3CHH,672
3L1L,445
3GD6,391
4W5X,238
3IDF,276
3NFI,1185
1EER,620
1YRK,139
3Q8D,504
2RLD,605
2Z2N,299
1U2K,309
3IA1,308
2I71,800
5CS2,208
1EPF,764
4E2X,416
3IP3,2696
4Q4G,472
2VLG,444
3UB1,1566
2O8S,646
1XLQ,318
4X7K,317
2Q1W,999
2O34,500
3WJ9,824
1NV8,568
4D1J,4320
1GUT,408
4NSV,550
1D8H,933
3QDL,840
2YKZ,127
4CO6,1224
5CPC,634
3KUV,278
2X2U,246
2YN0,271
1V4E,598
2QIY,404
1NIG,152
1O50,157
4M5R,241
1FEU,412
4OD8,568
2PKF,668
3Q4A,147
4PXU,422
3BJN,165
1NSZ,694
3SV1,612
4B2N,1324
2ZEX,294
4DGW,785
4ZJU,275
1J74,145
2HNG,127
2OZ8,778
4P82,183
1V0W,506
1C9K,540
1UCH,230
2GFP,750
2F8L,344
4LYA,559
4H2D,330
3CWW,1988
2ZQM,117
3CC8,230
3M4I,242
4FBS,137
2B78,385
3GA3,133
3P5J,799
3IR4,218
4YJ1,615
4JN7,395
2O9X,181
1K5N,385
3V3N,1512
3KSU,524
2V2G,932
4JEM,340
3U4V,234
1K32,6270
1YWM,200
4YTO,296
2NLV,224
4BE3,628
4XKB,233
4NOO,606
2F69,272
1FS7,485
1YA0,994
3CU9,314
2FBQ,235
1J8R,196
1OJH,780
3FAY,387
1A0E,886
2XVY,269
4ZOS,424
2CXK,475
2DY0,380
1WB9,1600
4D05,516
2DDU,387
3A57,165
4OPM,612
3FND,312
3UQC,1144
2P2S,672
3RHZ,678
3MAZ,137
3M86,222
3TEW,715
4F98,69
4QMG,1840
3PTY,406
4XS5,572
3CAY,324
4OYD,550
4OPB,233
4RG9,1163
2NT0,1988
5DGG,380
2YMO,289
1XW3,110
2JE3,186
3ILV,634
4JX2,862
4DK2,297
4M85,744
5EWO,228
3S63,234
3VK8,590
4ZBH,146
3CVZ,1092
3FRM,1524
3KQ5,393
4MZG,484
3DS4,184
2X9K,280
3OP6,304
3KA5,130
3CKJ,329
1IFG,140
4IZB,550
2XW6,402
1XJV,294
2X4L,325
3VOR,182
2HW4,144
2XZE,372
3JSR,119
4P1Z,512
1MIJ,152
4NW9,192
3CCF,558
2QYC,206
5A61,435
4JE3,346
2CFQ,417
5I9P,143
2PQ7,220
4FK9,337
2DXQ,300
3P0K,266
2HQX,492
2WG7,260
2JA4,101
2NXF,322
1VKF,752
1O65,738
1Q6O,432
3NXH,269
1IUJ,212
2WAG,220
3AMI,890
1OPO,1044
1V05,96
4R0R,50
3CNR,234
1Z2U,150
3K5J,183
4GWG,484
4L57,390
3FM0,345
4IUW,633
2HSB,126
3JQ0,493
3HSI,1374
1ESC,306
1I3W,44
1X9I,604
3GPG,672
2Z3J,520
3WAS,780
4PX7,262
4UZZ,184
1X54,434
3PHU,438
2DUL,378
3WCQ,97
3Q6K,762
4PD0,419
1KPL,1892
2PRX,320
5B08,208
1NJR,284
3H2Y,368
4EKX,546
5BPX,153
4EHS,310
4E3Y,490
1O3X,140
2IG6,300
3UXW,40
2WOY,356
2BKQ,848
2FQ3,104
1JL1,155
1WMH,175
3B7F,394
3TPD,440
2PUZ,838
3N3U,299
3PLW,186
4HHR,652
4N5C,6416
2PW9,1072
4W7W,332
3L7I,2916
3RET,202
5EQ0,61
1X6M,784
4CSO,864
3L8D,242
4BIX,596
3IEG,718
5CWG,210
2CHG,904
3VOL,233
3FXB,652
1HRU,376
4ECF,264
2R16,182
3DMN,174
1EDZ,320
3S2R,166
1G8A,227
2W56,294
5BXG,162
2POF,454
2V9P,3660
4W8V,492
1YLL,800
3CDD,2166
4P4V,48
4KE2,588
2P4H,322
3VN5,257
3WKG,412
2AKZ,878
3CRV,551
3U4K,185
3V7N,487
2NYI,390
4EMN,324
3LF6,322
4UOB,278
2YAL,82
2FG9,178
3KW2,514
4RPE,688
2HIN,142
4FF5,266
3QHQ,458
4EQB,660
3HRO,44
2YVP,182
4ICV,85
2XTS,1190
2PR1,326
3SG0,386
4LMY,326
3SHG,266
3DPJ,1552
1E6U,321
2YK4,327
2VY1,194
4W8B,386
2VZY,872
2PN1,331
3QSG,312
3TS9,138
4JD0,251
3CQ1,103
3I0P,365
1RI6,343
1WLE,1002
2IT2,400
2OEX,702
1B8K,119
3VBJ,615
2X7I,308
1KMO,774
2BFW,200
4XPC,259
1TJL,1510
4GS5,358
4UNM,1230
4IKG,81
2ZSJ,1408
4K90,604
4YT2,692
1YQ5,288
2CVE,191
4PUI,192
1ZR6,503
3PM2,173
3UOA,792
2GZA,1083
4L9U,112
5DUT,233
3PKO,668
3URZ,416
3TIW,412
1V70,105
1VI6,832
3G98,222
3A5P,416
3O3M,1586
3FFR,362
2ZDS,2040
3IV6,1044
3H8G,2982
4PFO,788
4RVQ,139
2GP4,1256
5FC2,548
4OJX,369
2IA2,1060
2OIT,434
4D7J,363
3C2Q,690
1YD9,772
3IGS,464
4C1B,513
1T6F,74
3AWU,415
2E7J,742
3VA4,275
3PVZ,1596
2FMA,59
4IDO,914
5DAC,898
1TWD,512
1YQH,218
2QHL,555
5CEC,676
3I9Y,276
1Q77,276
4DXT,198
3ECF,520
3KBR,239
4HYN,404
4MQD,540
2WL8,504
2GUH,428
2CS7,165
3KBG,213
2GKE,274
3G91,265
2FTX,154
1G66,207
3I45,387
2WH7,178
1LUC,679
2DGD,892
3C5E,570
4RV5,790
4Q4F,416
3MYD,365
3AAF,268
4JIU,105
4OMG,636
3LLO,143
1R0M,1500
4M1X,396
2QDJ,304
4KEM,780
4Z8J,109
3SUK,250
2QEA,480
4XOF,76
4O8W,750
3WX4,100
4ESM,302
4OEB,552
2OFZ,138
4IHQ,1539
1R75,141
1XKI,162
2C92,800
2FUL,1062
1M15,357
3T91,484
2PMY,182
1XKP,513
4IPI,351
4DVE,594
3UC9,233
1PO5,476
2JAK,392
3CI6,342
3HKL,394
3Q9H,80
4REP,495
3MJ6,268
2B4W,315
